#
#""	"S1,1 [Mag]"	"S1,1 [Pha in deg.]"	"Ref.Imp. [Mag]"	"Ref.Imp. [Pha in deg.]"
#------------------------------------------------------------------------------
1.0000000000000	0.046193114577738	18.181568478278	423.98214192724	90.000000000000
1.0030000209808	0.046471718064886	12.447000374148	426.88126378263	90.000000000000
1.0060000419617	0.046746232685564	6.7555095933333	429.81397224499	90.000000000000
1.0089999437332	0.047013452622283	1.1061000763612	432.78090564905	90.000000000000
1.0119999647141	0.047270207778454	-4.5025216716378	435.78308064506	90.000000000000
1.0149999856949	0.047513391377308	-10.071914278011	438.82118632845	90.000000000000
1.0180000066757	0.047739971061463	-15.603881243096	441.89605501339	90.000000000000
1.0210000276566	0.047946994266771	-21.100459047296	445.00854625894	90.000000000000
1.0240000486374	0.048131625700694	-26.563885053579	448.15954773265	90.000000000000
1.0269999504089	0.048291145657832	-31.996594401098	451.34984917586	90.000000000000
1.0299999713898	0.048422955972544	-37.401207621896	454.58065245005	90.000000000000
1.0329999923706	0.048524615765804	-42.780530396183	457.85281231651	90.000000000000
1.0360000133514	0.048593830751963	-48.137526814273	461.16734326743	90.000000000000
1.0390000343323	0.048628469091387	-53.475344997198	464.52529473190	90.000000000000
1.0420000553131	0.048626602862006	-58.797306304451	467.92775289738	90.000000000000
1.0449999570847	0.048586467159734	-64.106891862700	471.37570433398	90.000000000000
1.0479999780655	0.048506530315269	-69.407818647785	474.87058825527	90.000000000000
1.0509999990463	0.048385443651447	-74.703974000254	478.41347578713	90.000000000000
1.0540000200272	0.048222128959448	-79.999472575864	482.00561856282	90.000000000000
1.0570000410080	0.048015729762632	-85.298688671493	485.64831380889	90.000000000000
1.0599999427795	0.047765682383900	-90.606237560165	489.34275959403	90.000000000000
1.0629999637604	0.047471687131025	-95.927037246092	493.09064602946	90.000000000000
1.0659999847412	0.047133773609982	-101.26633321996	496.89327781026	90.000000000000
1.0690000057220	0.046752298897524	-106.62969831628	500.75216118931	90.000000000000
1.0720000267029	0.046327985533708	-112.02317115106	504.66886132180	90.000000000000
1.0750000476837	0.045861967149603	-117.45314457677	508.64500469313	90.000000000000
1.0779999494553	0.045355791541741	-122.92644979813	512.68212121118	90.000000000000
1.0809999704361	0.044811511848823	-128.45057113498	516.78229177992	90.000000000000
1.0839999914169	0.044231695662420	-134.03334170070	520.94718959854	90.000000000000
1.0870000123978	0.043619487098852	-139.68321977166	525.17872297026	90.000000000000
1.0900000333786	0.042978679090406	-145.40922468503	529.47887980481	90.000000000000
1.0930000543594	0.042313781575190	-151.22092431613	533.84973221856	90.000000000000
1.0959999561310	0.041630076237753	-157.12832795442	538.29326306164	90.000000000000
1.0989999771118	0.040933708709554	-163.14189981718	542.81208098526	90.000000000000
1.1019999980927	0.040231755530626	-169.27228145311	547.40836563736	90.000000000000
1.1050000190735	0.039532295313112	-175.53018266946	552.08457725234	90.000000000000
