#
#"Frequency / GHz"	"VSWR1 [Magnitude]"
#-------------------------------------
1.0000000000000	1.0968605181693
1.0030000209808	1.0974731823802
1.0060000419617	1.0980772052279
1.0089999437332	1.0986655115996
1.0119999647141	1.0992310897893
1.0149999856949	1.0997670538298
1.0180000066757	1.1002666700495
1.0210000276566	1.1007233714468
1.0240000486374	1.1011308432978
1.0269999504089	1.1014830227490
1.0299999713898	1.1017741154570
1.0329999923706	1.1019986781999
1.0360000133514	1.1021515990176
1.0390000343323	1.1022281359312
1.0420000553131	1.1022240121666
1.0449999570847	1.1021353291343
1.0479999780655	1.1019587245961
1.0509999990463	1.1016912642386
1.0540000200272	1.1013306369620
1.0570000410080	1.1008750485986
1.0599999427795	1.1003233794461
1.0629999637604	1.0996751203920
1.0659999847412	1.0989305157526
1.0690000057220	1.0980905568268
1.0720000267029	1.0971570620317
1.0750000476837	1.0961327723466
1.0779999494553	1.0950213517034
1.0809999704361	1.0938275793829
1.0839999914169	1.0925573603177
1.0870000123978	1.0912178500303
1.0900000333786	1.0898175999873
1.0930000543594	1.0883666920566
1.0959999561310	1.0868768420326
1.0989999771118	1.0853615836179
1.1019999980927	1.0838363964685
1.1050000190735	1.0823188434555
1.1080000400543	1.0808287802630
1.1109999418259	1.0793883556145
1.1139999628067	1.0780220829392
1.1169999837875	1.0767567947458
1.1200000047684	1.0756214633389
1.1230000257492	1.0746468739137
1.1260000467300	1.0738651243358
1.1289999485016	1.0733087853797
1.1319999694824	1.0730101249478
1.1349999904633	1.0729998537978
1.1380000114441	1.0733060060529
1.1410000324249	1.0739527561725
1.1440000534058	1.0749594873552
1.1469999551773	1.0763399968222
1.1499999761581	1.0781022204624
1.1529999971390	1.0802483440169
1.1560000181198	1.0827752056528
1.1590000391006	1.0856750512728
1.1619999408722	1.0889364352413
1.1649999618530	1.0925451179164
1.1679999828339	1.0964849530652
1.1710000038147	1.1007386980454
1.1740000247955	1.1052885679708
1.1770000457764	1.1101167369303
1.1799999475479	1.1152057154396
1.1829999685287	1.1205384569588
1.1859999895096	1.1260985954061
1.1890000104904	1.1318704306845
1.1920000314713	1.1378389524160
1.1950000524521	1.1439898130420
1.1979999542236	1.1503092128633
1.2009999752045	1.1567839775525
1.2039999961853	1.1634014017301
1.2070000171661	1.1701491155129
1.2100000381470	1.1770151497005
1.2130000591278	1.1839878045549
1.2159999608994	1.1910555999402
1.2189999818802	1.1982072849251
1.2220000028610	1.2054316249076
1.2250000238419	1.2127176162677
1.2280000448227	1.2200542485412
1.2309999465942	1.2274305789050
1.2339999675751	1.2348356095914
1.2369999885559	1.2422584842548
1.2400000095367	1.2496881963285
1.2430000305176	1.2571138050457
1.2460000514984	1.2645242852879
1.2489999532700	1.2719086358090
1.2519999742508	1.2792558531091
1.2549999952316	1.2865547942475
